SMILES,Name,IC50
N#Cc1c(Br)c(ccc1)C(=O)Nc(c2)ccc(c23)[nH]nc3-c4ccoc4,1200665,100
c1cc(C#N)cc(Br)c1C(=O)Nc(c2)ccc(c23)[nH]nc3-c4ccoc4,1200491,100
N#Cc1cc(Br)c(nc1)C(=O)Nc(c2)ccc(c23)[nH]nc3-c4ccoc4,1200763,100
c12c3c4cc(cc(Br)c4)COC(=O)NCCCOc(c2)ccc1[nH]n3,1348353,10
N#Cc1ccc(cc1)COc(ccc(Br)c2)c2C(=O)Nc3cccnc3,50895839,63
C1CCCCC1NC(=O)c2c(ccc(Br)c2)OCc3ccccc3,50895876,25119
c1ncccc1NC(=O)c2c(ccc(Br)c2)OCc3ccccc3,50895840,13
n1ncccc1NC(=O)c2c(ccc(Br)c2)OCc3ccccc3,50895940,50
c1nnccc1NC(=O)c2c(ccc(Br)c2)OCc3ccccc3,50895935,20
n1ccncc1NC(=O)c2c(ccc(Br)c2)OCc3ccccc3,50895943,1995
c1ncncc1NC(=O)c2c(ccc(Br)c2)OCc3ccccc3,50895944,25119
o1ccnc1NC(=O)c2c(ccc(Br)c2)OCc3ccccc3,50895869,2512
c12c3c4cc(c(Br)cc4)COC(=O)NCCCOc(c2)ccc1[nH]n3,1348374,10
c1c(Br)ccc(c12)NC(=O)C2=NN(c3ccccc3)c4ccccc4,51116374,20
c1c(Br)ccc(c12)NC(=O)C2=NN3CCCCC3,51116358,490
c1c(Br)ccc(c12)NC(=O)C2=NN3CCOCC3,51116409,1020
c1cc(Br)cc(c12)sc(n2)NC(=O)c3ccc(cc3)N4CCOCC4,51292730,260
s1cncc1-c(nn2)n(c23)nc(cc3)Sc4cc(Br)ccc4,51059076,32
c1ncc(Br)cc1-c2c[nH]c(c23)ncnc3N4CCOCC4,334425,6
N#Cc(c1)ccc(c12)CCC[C@@H]2Nc(c3)ccc(c34)[nH]nc4Br,51564891,14
c1ccccc1CN(c2nccc3c24)CCCc4n[nH]3,1000424,3600
C1CNCCC1COc2ccnc(n2)Nc3ccc(cc3)N4CCOCC4,1257810,300
C1CNCC=C1c(c2)ccc(c23)[nH]nc3-c4cc(ncn4)N5CCOCC5,417991,71.6
[nH]1nc2CCCN(C3CCC3)c4nccc1c24,1000420,140
c12c3ccnc2N(C4CCOCC4)CCCc1n[nH]3,1000430,150
c1cnccc1-c2n[nH]c(c23)ccc(c3)NC4CCOc(c45)cccc5,51496899,42
C1CC1c(cc2)cc(c23)n(nc3)-c4cc(ncn4)N5CCOCC5,1015210,231
C1CC1c(ccc2)c(c23)nc(nc3)Nc4cnn(c4)C5CCOCC5,51446317,15
C1CC12Cc3n(C2)ncc3Nc(nc(c45)[nH]cn5)nc4C6CC6,1127637,60
C1OCCC=C1c2c[nH]c(c23)ncnc3N4CCOCC4,334510,97.8
c12c3ccnc2N(C4CCCC4)CCCc1n[nH]3,1000422,150
C1COCCC1Nc2nccc(c23)[nH]nc3-c4cnn(c4)C5CCCC5,51241482,170
C1COCCC1Oc2nccc(c23)[nH]nc3-c4cnn(c4)C5CCCC5,51241485,4
c1c[nH]c(c12)ncc(c2)-c3c(nccn3)N4CCCC4,475845,500
c1ccccc1-c2c[nH]c(c23)ncnc3N4CCCC4,334548,47
c1[nH]ncc1-c(cc2)cc(c23)n(nc3)-c4cc(ncc4)N5CCOCC5,1015157,73
c1cccc(c12)n(nc2)-c3cc(ncc3)N4CCOCC4,1015141,633
n1cnn(c12)cc(cc2)-c(c3)ccc(c34)[nH]nc4-c5cc(ncn5)N6CCOCC6,417935,192.7
n1ncn(c12)cc(cc2)-c(c3)ccc(c34)[nH]nc4-c5cc(ncn5)N6CCOCC6,417945,56.1
c1ncccc1-c(c2)ccc(c23)[nH]nc3-c4cc(ncn4)N5CCOCC5,417978,5.5
[nH]1nccc1-c(c2)ccc(c23)[nH]nc3-c4cc(ncn4)N5CCOCC5,417993,2.63
c1cnccc1-c(c2)ccc(c23)[nH]nc3-c4cc(ncn4)N5CCOCC5,417936,96.7
c1occc1-c(c2)ccc(c23)[nH]nc3-c4cc(ncn4)N5CCOCC5,417987,19.01
